,"Q34_Are you doing other things at home to learn, aside from radio lessons?",Q35_What are you doing?
0,Yes,"Harvesting, looking after goats/ sheep and reading"
1,Yes,Family work and reading
2,Yes,House work and reading
3,Yes,House work and reading
4,Yes,Reading
5,Yes,"Cultivation, harvesting and reading "
6,Yes,"Cultivation, harvesting and reading"
7,Yes,Family work and reading
8,,
9,,
10,,
11,,
12,Yes,Reading
13,No,
14,Yes,House work and reading
15,No,
16,No,
17,Yes,"Cooking, harvesting and reading"
18,Yes,"Cooking, cleaning home compound everyday, harvesting and reading"
19,,
20,,
21,,
22,,
23,,
24,,
25,Yes,Family work and reading
26,,
27,,
28,,
29,Yes,Revising notes
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,No,
38,Yes,My brother teaching me at home
39,Yes,Study books
40,,
41,No,
42,,
43,Yes,Study books
44,,
45,,
46,Yes,Revising my notes. 
47,No,
48,,
49,No,
50,,
51,Yes,Use my books
52,Yes,We are given holiday packages twice  my elder sister in S1 is also coaching me
53,No,
54,,
55,No,
56,,
57,Yes,Answering packages
58,Yes,Studying 
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,Yes,I do revision at home but not daily
70,,
71,Yes,Reading.
72,,
73,No,
74,Yes,I read English.
75,,
76,No,
77,Yes,Revising English's
78,Yes,Personal revision 
79,No,
80,Yes,Study books
81,,
82,No,
83,No,
84,,
85,,
86,Yes,Reading some time
87,No,
88,No,
89,,
90,No,
91,,
92,,
93,No,
94,No,
95,No,
96,No,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,No,
105,,
106,No,
107,Yes,I read some books especially CRE
108,,
109,,
110,No,
111,Yes,Reading some notes
112,,
113,,
114,No,
115,,
116,,
117,No,
118,,
119,,
120,,
121,,
122,No,
123,No,
124,Yes,Studying books
125,,
126,No,
127,Yes,Am doing revisions of my old notes.
128,No,
129,,
130,,
131,Yes,We are reading our books. 
132,Yes,Looking after goats and harvesting groundnuts
133,,
134,No,
135,,
136,No,
137,Yes,Self studies.
138,Yes,I revise my previous work every week
139,No,
140,,
141,,
142,No,
143,Yes,Textbooks
144,,
145,No,
146,Yes,Study books
147,Yes,Revision at home.
148,,
149,No,
150,,
151,Yes,Reading books like science and  other subjects
152,Yes,Revise my books
153,No,
154,Yes,Reading
155,,
156,No,
