"Q34_Are you doing other things at home to learn, aside from radio lessons?",Q35_What are you doing?
Yes,"Harvesting, looking after goats/ sheep and reading"
Yes,Family work and reading
Yes,House work and reading
Yes,House work and reading
Yes,Reading
Yes,"Cultivation, harvesting and reading "
Yes,"Cultivation, harvesting and reading"
Yes,Family work and reading
,
,
,
,
Yes,Reading
No,
Yes,House work and reading
No,
No,
Yes,"Cooking, harvesting and reading"
Yes,"Cooking, cleaning home compound everyday, harvesting and reading"
,
,
,
,
,
,
Yes,Family work and reading
,
,
,
Yes,Revising notes
,
,
,
,
,
,
,
No,
Yes,My brother teaching me at home
Yes,Study books
,
No,
,
Yes,Study books
,
,
Yes,Revising my notes. 
No,
,
No,
,
Yes,Use my books
Yes,We are given holiday packages twice  my elder sister in S1 is also coaching me
No,
,
No,
,
Yes,Answering packages
Yes,Studying 
,
,
,
,
,
,
,
,
,
,
Yes,I do revision at home but not daily
,
Yes,Reading.
,
No,
Yes,I read English.
,
No,
Yes,Revising English's
Yes,Personal revision 
No,
Yes,Study books
,
No,
No,
,
,
Yes,Reading some time
No,
No,
,
No,
,
,
No,
No,
No,
No,
,
,
,
,
,
,
,
No,
,
No,
Yes,I read some books especially CRE
,
,
No,
Yes,Reading some notes
,
,
No,
,
,
No,
,
,
,
,
No,
No,
Yes,Studying books
,
No,
Yes,Am doing revisions of my old notes.
No,
,
,
Yes,We are reading our books. 
Yes,Looking after goats and harvesting groundnuts
,
No,
,
No,
Yes,Self studies.
Yes,I revise my previous work every week
No,
,
,
No,
Yes,Textbooks
,
No,
Yes,Study books
Yes,Revision at home.
,
No,
,
Yes,Reading books like science and  other subjects
Yes,Revise my books
No,
Yes,Reading
,
No,
,
,
,
,
,
No,
Yes,To recall my passed lessons 
,
No,
,
Yes,Digging
,
,
,
,
,
,
,
No,
Yes,Reading at home
No,
Yes,Holiday packech
No,
No,
,
Yes,Self assessment with holiday packages
No,
,
No,
,
,
No,
Yes,Study books
,
,
Yes,Cooking
Yes,Reading and doing exercises
,
Yes,Reading
Yes,Studying books
Yes,Reading my notes and books
No,
,
,
,
,
No,
Yes,Playing game and reading text box
,
No,
,
Yes,I do revised my previous lessons
,
,
No,
No,
Yes,Reading holy days package
,
No,
No,
No,
No,
No,
,
No,
No,
No,
No,
,
,
No,
No,
,
No,
,
,
,
No,
,
,
,
,
Yes,Group discussion
Yes,Revising books 
No,
,
Yes,Only personal studies during my private time. 
Yes,Reading my books
No,
,
,
,
Yes,help my family
,
Yes,doing the Work at home
Yes,help my mother.
,
Yes,Revising my notes
,
No,
,
,
,
Yes,Some times studying my books
,
Yes,Group discussion
Yes,Group discussion
,
,
No,
No,
,
Yes,Cooking food
,
No,
,
No,
,
Yes,Reading some notes
,
Yes,"Cooking, fetching of water and getting firewood."
No,
,
,
,
Yes,Some times studying books
No,
,
,
,
,
,
No,
Yes,Look after cattle and read my books
Yes,"Look after cattle,play football and read my books"
,
,
,
,
,
,
,
,
,
No,
,
,
,
,
Yes,Revision
,
,
,
No,
,
No,
,
,
No,
,
No,
,
,
No,
Yes,To name him fresh in mind and not to for get knowledge taught by the teacher.
,
Yes,To let him contain what has been taught by his teachers
,
No,
,
,
,
,
,
,
,
,
,
,
Yes,So that she doesn't for get what the teachers have already given them from school.
,
Yes,So that he doesn't for get his passed knowledge given by his teachers.
,
Yes,So that he will not for get what has been taught by his teacher from school before coronas.
No,
,
No,
,
,
,
Yes,Reading
Yes,Reading my books
Yes,Reading books
,
Yes,Reading
Yes,Reading and calculating math
No,
No,
No,
,
,
,
,
,
,
No,
,
No,
,
,
,
,
,
,
,
Yes,Reading the books
No,
,
No,
,
No,
,
Yes,Reading
Yes,Reading
,
,
,
No,
,
,
,
,
Yes,Holiday package 
No,
,
No,
,
,
Yes,Holiday package
No,
,
,
,
,
,
,
Yes,Iam Read the books
No,
,
Yes,Reading my book's
Yes,Reading
No,
,
No,
,
No,
Yes,Study books
No,
,
,
Yes,Homework exercise and discussion with my friends
No,
Yes,Group discussion
Yes,Reading and doing assignment
No,
No,
Yes,We discuss in group and do practice exercises
Yes,Reading and practice exercise
No,
,
No,
No,
No,
,
,
,
No,
,
No,
,
No,
No,
No,
No,
,
,
,
No,
No,
,
,
Yes,Answering the packages
Yes,Answering packages
,
,
,
No,
Yes,We are discussing with friends and my parents do help me
No,
,
,
,
Yes,Reading textbooks
Yes,Reading textbooks
No,
No,
No,
,
Yes,Reading textbooks
,
,
,
No,
No,
No,
No,
No,
,
Yes,Cooking and cleaning.
,
,
,
,
,
,
,
,
No,
,
,
,
,
Yes,Reading 
,
,
,
Yes,Reading text books
Yes,Help in home chores and also take care of our goats.
Yes,Reading the text books school at home.
Yes,I read at home alone.
No,
,
,
,
,
,
,
,
Yes,Reading
Yes,"Digging ,cook and fetching water."
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Yes,Self study
No,
,
,
No,
Yes,Reading
No,
,
,
,
No,
No,
,
No,
Yes,Studying my texts book
,
,
Yes,Using my textbooks
,
Yes,Studying my exercise books
Yes,I'm learning anything
No,
Yes,Revising my textbooks
,
,
Yes,Reading notes 
No,
,
,
Yes,"Cooking , harvesting, collecting fire woods and reading text books"
Yes,Reading
Yes,Reading
Yes,Studies
No,
,
,
No,
No,
No,
,
No,
No,
,
Yes,Studies
,
Yes,Reading.
Yes,Group studies with colleagues
Yes,Reading
Yes,Reading the text books.
Yes,Reading.
Yes,Reading.
Yes,Reading.
,
,
,
Yes,I study lessons and do farming.
No,
,
,
,
,
,
Yes,Several works for example cooking and cleaning the utensils.
Yes,I do go on farming.
,
,
Yes,Group work
Yes,Studies
No,
,
Yes,Studies
Yes,Studies
,
Yes,Studies
,
,
No,
Yes,Studies
No,
,
Yes,reading  the text books
Yes,Reading my books
Yes,"Cultivation, fetching water and fire wood"
No,
Yes,Practing my old books
No,
Yes,Reading my books
No,
No,
No,
,
,
,
