Gender ,Age,Title,School Type Level,What is the School location,School Category,State
Male,13.0,Learner,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Male,17.0,Learner,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Male,10.0,Learner,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Female,17.0,Learner,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Male,21.0,Learner,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Male,18.0,Learner,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Male,11.0,Learner,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Male,10.0,Learner,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Male,37.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Male,54.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Male,34.0,Teacher,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Male,43.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Female,16.0,Learner,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Female,18.0,Learner,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Female,18.0,Learner,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Female,16.0,Learner,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Male,17.0,Learner,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Female,16.0,Learner,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Female,15.0,Learner,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Male,35.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Female,32.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Male,41.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Female,47.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Female,29.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Male,32.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Male,18.0,Learner,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Male,37.0,Teacher,Secondary,Urban,Non-IDP School,Upper Nile State
Male,40.0,Teacher,Primary,Rural,Non-IDP School,Upper Nile State
Male,46.0,Teacher,Primary,Rural,Non-IDP School,Western Equatoria
Female,16.0,Learner,Primary,Rural,Non-IDP School,Eastern Equatoria
,,,,,,Jonglei
,,,,,,Jonglei
,,,,,,Jonglei
,,,,,,Eastern Equatoria
,,,,,,Unity
,,,,,,Jonglei
Male,22.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Male,19.0,Learner,Primary,Urban,Non-IDP School,Central Equatoria
Female,16.0,Learner,Primary,Urban,Non-IDP School,Central Equatoria
Female,15.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Female,52.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Central Equatoria
Female,15.0,Learner,Secondary,Rural,Non-IDP School,Central Equatoria
,,,,,,Unity
Female,14.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Female,19.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Male,29.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Lakes
Male,14.0,Learner,Primary,Urban,Non-IDP School,Western Equatoria
Female,17.0,Learner,Secondary,Urban,Non-IDP School,Eastern Equatoria
,,,,,,Unity
Female,16.0,Learner,Primary,Rural,Non-IDP School,Warrap
Female,35.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Warrap
Female,17.0,Learner,Primary,Rural,Non-IDP School,Central Equatoria
Male,9.0,Learner,Primary,Urban,Non-IDP School,Central Equatoria
Female,17.0,Learner,Primary,Rural,Non-IDP School,Eastern Equatoria
Female,50.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Central Equatoria
Female,22.0,Learner,Secondary,Urban,Non-IDP School,Eastern Equatoria
Female,27.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Eastern Equatoria
Female,13.0,Learner,Primary,Urban,Non-IDP School,Central Equatoria
Female,13.0,Learner,Primary,Urban,Non-IDP School,Western Bahr el Ghazal
,,,,,,Central Equatoria
Male,22.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Eastern Equatoria
Female,60.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Male,49.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Male,38.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
,,,,,,Lakes
Female,18.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Central Equatoria
Female,31.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Central Equatoria
Male,80.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Lakes
Female,39.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Central Equatoria
Female,11.0,Learner,Primary,Urban,Non-IDP School,Central Equatoria
Male,47.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Lakes
Female,10.0,Learner,Primary,Rural,Non-IDP School,Lakes
Male,53.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Lakes
Female,12.0,Learner,Primary,Rural,Non-IDP School,Eastern Equatoria
Male,12.0,Learner,Primary,Rural,Non-IDP School,Lakes
,,,,,,Eastern Equatoria
Female,15.0,Learner,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Female,11.0,Learner,Primary,Urban,Non-IDP School,Central Equatoria
Female,9.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Male,17.0,Learner,Primary,Rural,Non-IDP School,Warrap
Male,15.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
,,,,,,Lakes
Female,17.0,Learner,Primary,Urban,IDP School,Central Equatoria
Female,18.0,Learner,Primary,Rural,Non-IDP School,Eastern Equatoria
Male,39.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Lakes
Female,32.0,Parent/guardian/sibling,Primary,Urban,IDP School,Central Equatoria
Female,16.0,Learner,Primary,Urban,Non-IDP School,Central Equatoria
Male,16.0,Learner,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Male,12.0,Learner,Primary,Rural,Non-IDP School,Warrap
,,,,,,Lakes
