Q36_What materials are you using?,Q37_How often do you use these materials?,Q38_Do you find these materials more or less helpful than radio lessons?,Q39_Why
Textbooks,A few times a week,More,Because I see spelling correctly in text book
Textbooks Practice book from school,A few times a week,More,Textbooks contain details and correct spelling
Textbooks Practice book from school,A few times a month,More,Because of spelling details
Textbooks,A few times a week,More,Textbooks contain details
Textbooks Practice book from school,A few times a week,About the same,Because it's all about educational programs
Textbooks Practice book from school,A few times a month,Less,Because radio lessons give good prounciation and new Vocabularies
Textbooks Practice book from school,A few times a month,More,Because reading in text book is more useful than radio
Textbooks Practice book from school,A few times a week,More,Because reading in the text books allow you to seek for help to the person near you
,,,
,,,
,,,
,,,
Practice book from school,A few times a month,About the same,Because I didn't attend radio lesson one day to compare them with reading in text book
,,,
Practice book from school,A few times a week,More,Because of instruction given by teachers to read in practical books from school
,,,
,,,
Practice book from school,A few times a week,More,Because I was instructed to read in my practical books from school
Textbooks,A few times a month,More,Because text book give correct spelling of words
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks Practice book from school,A few times a month,More,Because of good spelling
,,,
,,,
,,,
Practice book from school,A few times a month,Less,No time to read books
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Study packets,A few times a week,More,Because is easy to understand
Practice book from school,A few times a week,More,Easy to understand
,,,
,,,
,,,
Textbooks Practice book from school,A few times a week,More,Easy to understand and if difficulties look for the help
,,,
,,,
Practice book from school,A few times a week,More,I learn through it more than listening to the radio 
,,,
,,,
,,,
,,,
Textbooks,A few times a week,Less,Sometimes I don't understand and no one can do explanation to me
Study packets Practice book from school,A few times a week,More,Because my sister normally coach me and help me in my work
,,,
,,,
,,,
,,,
Study packets,Daily,More,Because you can get all the work in place
Textbooks,Daily,About the same,When I miss from radio I will get it in my books 
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Study packets Practice book from school,A few times a week,Less,Because most time we are playing
,,,
Textbooks,A few times a week,Less,Because of CoVID 19 interruption.
,,,
,,,
Textbooks Study packets,A few times a week,More,More helpful than radio lessons.
,,,
,,,
Practice book from school,A few times a week,Less,No schooling
Practice book from school,A few times a week,Less,Am still in Primary one
,,,
Textbooks Practice book from school,A few times a week,More,Easy to understand
,,,
,,,
,,,
,,,
,,,
Other (specify),A few times a month,Less,No hope of schools opening
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks Practice book from school,A few times a week,More,"Some one with out radio can't understand what is happening.
So I read my books and I can understand it."
,,,
,,,
,,,
Textbooks Practice book from school,A few times a week,Less,Some time I miss the lessons on radio
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks Practice book from school,A few times a week,More,Easier than radio on air
,,,
,,,
Practice book from school,A few times a month,Less,am reading primary six materials instead of primary eight
,,,
,,,
,,,
Textbooks,A few times a month,More,Because I don't want to for get what I learnt from school.
Study packets,A few times a month,Less,They are not distributed to us
,,,
,,,
,,,
,,,
Practice book from school,A few times a month,Less,More house chao.
Other (specify),A few times a week,More,They are better than nothing
,,,
,,,
,,,
,,,
Textbooks,A few times a week,Less,Needs teacher support
,,,
,,,
Textbooks Practice book from school,Daily,More,Easy to understand
Practice book from school,A few times a week,Less,No good explanation.
,,,
,,,
,,,
Practice book from school,A few times a week,More,Because am accessing myself with what I read everyday
Practice book from school,A few times a week,More,Because they were taught by our teachers.
,,,
Textbooks,A few times a week,About the same,Because I am benefiting from both of them
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school Textbooks,A few times a week,Less,Too much domestic work could not allow one to concentrate
,,,
,,,
,,,
Textbooks Practice book from school,A few times a week,Less,Less time
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,More,I personally benefit from reading more than radio
,,,
Textbooks,A few times a week,Less,Needs teacher support
,,,
,,,
,,,
Textbooks Study packets Practice book from school,A few times a week,More,Because most of the time am studying due to Corona pandemic no movement around and interaction with peers
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school,A few times a week,More,Easy to understand
,,,
,,,
Textbooks,A few times a week,Less,I like listening
Other (specify),A few times a week,More,Because no radio for learning
,,,
Textbooks Practice book from school,A few times a week,Less,No one helping me
Textbooks Practice book from school,A few times a week,More,Easier to understand than radio
Practice book from school,A few times a week,Less,I don't know the meaning of some words and no explain for me.
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,More,They are increasing my knowledge
,,,
,,,
,,,
Study packets,A few times a week,More,Packages are better than radio
,,,
,,,
,,,
,,,
Study packets,A few times a month,More,No answer
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,More,He reads it direct from his books
Study packets Practice book from school,A few times a week,Less,You can understand and ask a point
,,,
,,,
Practice book from school,Daily,Less,No body to teach me so that I can learn more 
Study packets,Daily,More,Easy to understand
,,,
,,,
,,,
,,,
Practice book from school,A few times a week,Less,the are not enough
,,,
Practice book from school,A few times a week,Less,the are not enough
Practice book from school,A few times a week,Less,the are not enough for me
,,,
Practice book from school,A few times a week,More,Because the information in the text book can be read more times if you don't understand.
,,,
,,,
,,,
,,,
,,,
Textbooks Practice book from school,A few times a week,More,Easy to understand and physical practice
,,,
Study packets,A few times a week,Less,She doesn't understand
Textbooks,A few times a week,Less,Teaching in the class is the best
,,,
,,,
,,,
,,,
,,,
Practice book from school,A few times a month,Less,I con't have book
,,,
,,,
,,,
,,,
,,,
Practice book from school Other (specify),A few times a week,Less,No one explains new words for me
,,,
Practice book from school,A few times a week,Less,We need teachers to guide us during our reading.
,,,
,,,
,,,
,,,
Textbooks Practice book from school,A few times a week,More,Easy to understand and physical
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,More,They are helpful and I usually found them at home
Textbooks,A few times a week,More,I have these materials with me
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Study packets,A few times a week,About the same,There are some pass papers which have the same work
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school,A few times a week,Less,Because if there is no one to help then you can't understand very well
,,,
Practice book from school Textbooks,A few times a week,Less,You can't ask question when it is not clear.
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks Practice book from school,Daily,Less,Domestic work sometimes stop her from studying more.
,,,
Practice book from school Textbooks,A few times a week,Less,Because there arena lot of work also in the garden which made him not to study sometimes.
,,,
Textbooks Study packets Practice book from school,Daily,More,So that he can't for get his passed knowledge given by his teacher and when schools reopen he would be fresh .
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school,Daily,More,Easier to understand than radio
Practice book from school Textbooks,A few times a week,More,"Doing by myself much better than radio, language used on radio is too difficult to understand"
Textbooks Practice book from school,A few times a week,More,Easy to understand
,,,
Textbooks Practice book from school,A few times a week,More,It give my more skills or knowledge
Textbooks Practice book from school,A few times a month,More,Am getting new things
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,More,It's easy to understand.
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school,A few times a week,Less,No one helping me
Textbooks,A few times a week,More,Have no radio
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Study packets,A few times a week,More,Don't understand on radio
,,,
,,,
,,,
,,,
,,,
Study packets,Daily,More,Help her to learn more
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,More,Because easy to understand.
,,,
,,,
Textbooks,Daily,More,I understand more
Textbooks,A few times a week,More,Because I like reading
,,,
,,,
,,,
,,,
,,,
Textbooks Practice book from school,A few times a week,More,Easy to understand
,,,
,,,
,,,
Textbooks,A few times a month,More,Yes we don't have radio lessons
,,,
Other (specify),A few times a week,More,Better than none
Other (specify),A few times a week,More,They keep reminding me of the previous lessons
,,,
,,,
Practice book from school Textbooks,A few times a week,More,Radio lessons are rarely found here but these materials are available
Practice book from school Other (specify),A few times a week,More,Simply because there is no radio for comparison
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Study packets,Daily,More,Because they teach things that she doesn't know
Study packets,Daily,More,Radio doesn't explain
,,,
,,,
,,,
,,,
Study packets Practice book from school,A few times a week,Less,Because most time we are occupied with domestic work
,,,
,,,
,,,
,,,
Textbooks,A few times a week,About the same,Because the all about educational programs
Textbooks,A few times a week,About the same,Because it's all about learning
,,,
,,,
,,,
,,,
Textbooks Practice book from school,A few times a month,About the same,All the same learning
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,More,Because it is good and helpful to me.
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,Less,No teacher 
,,,
,,,
,,,
Textbooks Practice book from school,Daily,More,The same things that can be taught in the school we get them in the book
Textbooks Practice book from school,Daily,More,Because the radio lessons are not detailed enough for me to understand.  So I use the handy materials to continue reading and understanding more deeply the lessons. 
Textbooks,A few times a week,More,Because they are more helpful than radio lessons.
Textbooks,A few times a week,More,Because they are more helpful to me.
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,About the same,All are good for me
Textbooks,Other (specify),More,Because there is no school.
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school,A few times a week,More,"Books are available, since I have no access to radio"
,,,
,,,
,,,
,,,
Textbooks Other (specify),A few times a week,About the same,I don't have some one to guide my learning
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,More,If I forget something I can go back to it
,,,
,,,
Textbooks,A few times a week,More,Because it's with me always
,,,
Study packets,A few times a week,More,Because they are available with me all the time
Other (specify),Other (specify),Less,Because of other activities
,,,
Textbooks,Daily,More,Because the are with me always
,,,
,,,
Practice book from school,A few times a week,Less,Because there were not many notes copied at school.
,,,
,,,
,,,
Textbooks Practice book from school,A few times a month,Less,Text books is more detailed than radio
Textbooks,A few times a week,More,Because they are good for me.
Study packets,Daily,More,Because they are good for understanding.
Textbooks,A few times a week,More,Because there's no much interaction between the teachers and the learners
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,Less,Radio program is not beneficial to me
,,,
Textbooks Study packets,A few times a week,More,Because they are more helpful.
Textbooks,A few times a week,Less,No access
Textbooks,A few times a week,Less,Because they are hard to understand easily.
Textbooks,Daily,About the same,Because they are good to me all.
Study packets,A few times a week,More,Because they are simple to understand.
Textbooks Study packets Practice book from school,Daily,About the same,Because they are all good for school lessons.
Study packets,A few times a week,More,Because these materials are more helpful than radio lessons.
,,,
,,,
,,,
Practice book from school,A few times a week,Less,Because radio is sometimes less effective.
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school,Daily,Less,Because it is not enough.
Textbooks,A few times a week,More,Because I can read them and understand.
,,,
,,,
Textbooks,A few times a week,More,Because I don't have access to radio
Textbooks,A few times a week,More,It makes me to practice and understand
,,,
,,,
Textbooks,A few times a week,Less,No access to get many
Textbooks,A few times a week,Less,No access to it
,,,
Textbooks,A few times a week,More,Because my parents used to guide me
,,,
,,,
,,,
Textbooks,A few times a week,More,It doesn't cost
,,,
,,,
Textbooks,A few times a week,More,because no access to radio
Practice book from school,A few times a week,More,They are available at home
Other (specify),Other (specify),More,We go with my family often
,,,
Textbooks,A few times a week,More,I have them at home
,,,
Practice book from school Textbooks,A few times a week,Less,Its difficult to follow radio lessons
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,Less,Because no teacher to guide me
,,,
,,,
Textbooks,A few times a week,More,Because of the practical parts
,,,
,,,
,,,
,,,
,,,
Other (specify),A few times a week,More,Because it reminds us of our lesson s
,,,
,,,
Textbooks,A few times a week,More,Because it keep reminding me
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,Daily,More,Because l can use it the way I want.
Textbooks Other (specify),Daily,Less,It difficult to understand myself 
,,,
Other (specify),Daily,Less,It's not like the one in school
,,,
Textbooks,Daily,More,Because that is the only way I know 
Textbooks Other (specify),A few times a week,Less,Because I can't weigh the two in the absence of the other 
,,,
,,,
,,,
,,,
Other (specify),Daily,More,Because it's the only means I can use 
Textbooks Practice book from school,A few times a week,More,Because it is the only thing at hand 
Other (specify),A few times a week,More,It's helping me more than what I do not have. 
,,,
Practice book from school,A few times a week,Less,Because other things taught in the school is not the same as the one over radio
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,More,Because it is easy to understand
,,,
Textbooks,A few times a week,More,Because it Stik to the mine
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks Practice book from school,A few times a week,Less,"Because some of the text books are not revant to the topics required
"
,,,
Textbooks,A few times a week,More,It reminds me on what I Iearned in school
Practice book from school,A few times a week,More,It keeps me busy and reminds me of the things I Iearned in the school
,,,
,,,
Practice book from school,A few times a week,More,Because it keeps me remind my work in school
,,,
Textbooks Practice book from school,A few times a week,More,It helps me to remember what is taught in school
Textbooks Practice book from school,A few times a week,Less,It is not enough as the one teachers used to do
,,,
Textbooks Study packets Practice book from school,A few times a week,Less,Because some subjects have no text books
Textbooks Practice book from school,A few times a week,Less,The time factors
,,,
Textbooks Practice book from school,A few times a week,More,Because it keeps me busy in the house
,,,
Textbooks Practice book from school,A few times a week,More,Because it keeps me busy and reminds me on my previous work
,,,
Textbooks Practice book from school,A few times a week,More,It keeps me busy and reminds me on my previous work
Practice book from school,A few times a week,More,It is helpful to me because it keeps me busy
Textbooks Practice book from school,A few times a week,More,Keeps me remind my previous work
Practice book from school,A few times a week,Less,Because I don't have enough text books
Practice book from school,A few times a week,More,Because it keeps me busy and reminds me on what I Iearned
Practice book from school,A few times a week,More,It reminds me on my previous work
Practice book from school,A few times a week,More,Because it keeps me busy
Practice book from school,A few times a week,More,Because it keeps me busy
,,,
Practice book from school,A few times a week,Less,Because there are some topics which are not in them
,,,
Practice book from school,A few times a week,Less,It is not enough to me in the absence of the teachers
,,,
Practice book from school,A few times a week,Less,Because I don't know the meaning of some words
,,,
Practice book from school,A few times a week,More,It keeps me busy at home
,,,
Textbooks Practice book from school,A few times a week,More,Because it keeps me busy doing my previous work
,,,
Practice book from school,A few times a week,More,Because it keeps updating me
,,,
Practice book from school,A few times a week,More,Because it updates me and keeps me busy
Practice book from school,A few times a week,More,I learn new ideas from it
Practice book from school,A few times a week,Less,Because it just my previous work
Practice book from school,A few times a week,Less,Because it is not enough for me
Practice book from school,A few times a week,Less,Because it is not enough for me
Practice book from school,A few times a week,More,It keeps me busy at home
Practice book from school,A few times a week,Less,Because it is not enough for me
Practice book from school,A few times a week,More,Because these are the only materials I have at home
Practice book from school,A few times a week,Less,Because it is not enough for me to understand
Practice book from school,A few times a week,Less,Because some of things are missing
Practice book from school,A few times a week,Less,Because they are not enough for me to get what I need
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school,A few times a week,About the same,I catch what i miss on radio
Textbooks Practice book from school,A few times a week,Less,The Radio is better because it covers areas i cant cover it by myself.
,,,
Textbooks Practice book from school,Daily,More,Sometimes it is not easy to follow the Radio.
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school,A few times a month,More,It can let you learn for new information.
Textbooks,Other (specify),About the same,I have no time to read my exercise.
Textbooks,A few times a week,Less,I have less time to the radio.
Practice book from school,A few times a week,Less,Beacuse there's no teacher to direct me.
,,,
