"Q61_When schools re-open, do you think your school will have measures in place to ensure a safe learning environment?",Q62_Why or why not?,Q63_What are your concerns about returning to school?
Yes,Because we shall follow classroom rules and school regulations,Safety school environment for learning and quality education
Yes,Creation of structures and routines in the school,Social distancing and quality education
Somewhat,Keeping classroom clean orderly,Encouraging my colleagues in education
Yes,Creation of classroom safety rules,Lessons and school time table
Yes,Following the rules and regulations of school,Ready to receive lessons properly
Yes,Because I'm ready to receive daily lessons and follow school rules and regulations,Attending lessons and share concerns with my colleagues
Yes,Observing social distancing and classroom cleaning,Ready to attend lessons
Yes,Keeping whole school environment clean,Sitting arrangement in classes
Yes,Keeping classroom clean,Safety environment for learning
Yes,Safety of school environment,Keeping school safe and supporting children
Yes,I'm ready to give lessons to students and general support to all learners.,"Cleaning the whole school environment, and giving lessons to students."
Yes,"Social distancing, general cleaning of school  and safety of school environment.",Encouraging all learners to go back for learning.
Somewhat,"Because I'm seeing dry season is coming soon, so I don't know how school is going to work",I don't know
Yes,Cleaning Whole school environment and classroom arrangement,Attending lessons
No,"Because school environment is very dirty, no teaching aids in our school and no sitting benches in our school",I'm ready to go back for learning in things are in place
Yes,Resume classes,I'm ready attend lessons in my school
Yes,General cleaning of school environment,Attending lessons
No,Because I don't know anything about measures in place to ensure safe learning environment,Preparing my self to rejoin school again
No,Because I'm not  sure of  measures in place to ensure safe learning environment,Ready to go back to school for learning
No,Because I'm not sure whether COVID_19 is over in South Sudan,Ready to support our students in cleaning school environment
Somewhat,Informing all students about returning to school,Social distancing and other health safety measures plus quality education
Somewhat,General cleaning of school environment and informing all community members about re_opening ,Quality learning
Somewhat,Keeping whole school environment clean,Lessons for students
Yes,Because I will encourage all female learners to go back to school for learning,For students to receive their lessons correctly
Yes,Encouraging and allow all students to go back for learning,For learners to receive lessons and sit for exam to pass to next class
Yes,School rules and social distancing,Attending lessons
Yes,To ensure the standard operating guidelines are followed ,The calendar has been disorganised 
Yes,To avoid the spread  of Covid 19 in the school ,It's good to return to school and acquire knowledge 
Yes,"To provide enough forms for the pupils, general cleaning and sitting arrangements for the learners and also awareness on covid 19 pandemic. ",My concern is let Schools open so that students can begin their learning. 
Yes,Cleaning and slashing of the compound.,It is good.
,,
,,
,,
,,
,,
,,
Somewhat,Because the environment here is safe ,It's very important for the schools to reopen soon.
No,No enough classroom,No time and social distance
Yes,Because we want to go Back to school,We need to get more knowledge
Yes,Measures against covid 19,To go back to school
Yes,School can care about the safety of their pupils,We need the schools to be reopened because teenagers are now terrorising people at home due to idleness
Yes,They encourage learners to on face masks and wash hands.,She feels good because she is missing a lot .
,,
Yes,Measures against covid 19,To go back to school
No,I don't know,Mobilizing children to go back to school
No,I don't know,Opening would be great idea if the government can do that
Yes,Cleaning the environment. Protection from Corona virus ,To be studying than to sit idle. 
No,No hand washing facilities,It's good to go back to school
,,
No,I don't know what the school authority will put in place for safety of the people,Corona virus infection fear
No,I don't know,Corona virus infection fear
Yes,Our school will maintain social distance,About coverage of text book
No,I have no idea,If school reopen I will be going back
Yes,By maintaining the environment clean,I want schools to be opened so that the pupils can learn
Yes,It is the responsibility of the school to ensure safety of their pupils when in school,Let School reopen then children go back because Children are getting spoiled especially young girls are getting pregnant and boys are joining Niggas group 
Yes,No sign of Coronas in their place,The reopening of schools is good because many girls have dropped out
Yes,Washing hands frequently,Pupils should go back to school to stop up and down movement
Yes,To keep the health and hygiene of all the pupils,She feels like going back to school for her studies
No,I don't k know ,To continue with education 
,,
Yes,There are hand washing facilities,It's right for the school to reopen
Somewhat,Not sure,No concerns
Somewhat,No,Forced marriage
Yes,We will make sure learners keep social distancing,Time for lessons will be very short
,,
Yes,Corona virus is less ,Good 
No,it becomes difficult to ensure physical distance,its too late.
Yes,To keep social distancing among learners  because of CoVID 19 infection among people this is what could be done by the teachers.,For the learners to be taught effectively by the teachers.
No,I don't know,I don't study .
No,I have no idea,Am ready to go back to school
Yes,Because of CoVID 19 wash facilities must be increased in the school for safety.,The effective teaching must be carried out by the teachers.
Yes,Because school has to remain as safe place for learning.,To learn.
Yes,Because of CoVID 19 pandemic all learners have to be protected.,To study hard.
No,Requires general cleaning and slashing of the environment and provision of sanitary facilities.,It good but need much attention on the general learning environment.
Yes,We shall keep protecting ourselves in school due to CoVID 19 infection among people., Reading and writing.
,,
Yes,Due to current virus,I Like going to school to learn
No,Corona virus's,Good 
Yes,To keep the School compound safe for the learners. ,My concern is to go back to School and learn. 
No,I don't know,Corona virus fear
Yes,Measures against covid 19,To go back to school
,,
No,No answers,No
Somewhat,Fearing covid 19.,"Hard work to pass.
"
No,No idea,No idea
No,Due to COVID-19,COVID-19
No,No enough space,No
Yes,Due to pandemic in world,Return to school is a welcome move
No,I don't know,Corona virus
,,
Yes,I will observe social distancing,Corona virus infection
Somewhat,Fearing covid 19,Sending children to school.
Yes,The patents will provide washing facilities and keep social distant,Construction of more classrooms for students and building of more latrines especially for girls 
Somewhat,Self awareness about covid 19.,More revision.
Yes,No reasons given,Nothing
Somewhat,Because practical learning is more effective,It is good
Yes,"It is not effective.

",It is good.
Yes,So that our children don't get infected,I want to see to it that our children go back to school to guarantee their future
Yes,"Cleaning of the School, to keep the environment clean and awareness about Corona. ","It's School that makes the mind of every one to be open. So without learning, there's no future. "
,,
,,
No,No social distance because classrooms are few,No
No,I dont have radio,Let schools be reopened 
No,Because they could not protect learners from Covid 19.,She feels okay so she takes her back to school.
No,I don't know,Go back to school
Yes,Because our school environment is ready for responding our Learners for their studies,We will be happy if our children is returning back to their schools 
Yes,School will carry out out some awareness on preventives measures in regard to covid 19 pandemic,"School must be safe.
Hands washing facilities must be available."
Yes,School can provides protection,"Every good things to reopen schools.
"
